standard,2020-2,Anand (52),2755.0
standard,2020-3,Abdusattorov (17),2627.0
standard,2020-3,Firouzja (18),2728.0
standard,2020-3,Carlsen (31),2862.0
standard,2020-3,Duda (23),2753.0
standard,2020-3,Nakamura (34),2736.0
standard,2020-3,Goryachkina (23),2579.0
standard,2020-3,Anand (52),2753.0
standard,2020-4,Abdusattorov (17),2627.0
standard,2020-4,Firouzja (18),2728.0
standard,2020-4,Carlsen (31),2863.0
standard,2020-4,Duda (23),2753.0
standard,2020-4,Nakamura (34),2736.0
standard,2020-4,Goryachkina (23),2582.0
standard,2020-4,Anand (52),2753.0
standard,2020-5,Abdusattorov (17),2627.0
standard,2020-5,Firouzja (18),2728.0
standard,2020-5,Carlsen (31),2863.0
standard,2020-5,Duda (23),2753.0
standard,2020-5,Nakamura (34),2736.0
standard,2020-5,Goryachkina (23),2582.0
standard,2020-5,Anand (52),2753.0
standard,2020-6,Abdusattorov (17),2627.0
standard,2020-6,Firouzja (18),2728.0
standard,2020-6,Carlsen (31),2863.0
standard,2020-6,Duda (23),2753.0
standard,2020-6,Nakamura (34),2736.0
standard,2020-6,Goryachkina (23),2582.0
standard,2020-6,Anand (52),2753.0
standard,2020-7,Abdusattorov (17),2627.0
standard,2020-7,Firouzja (18),2728.0
standard,2020-7,Carlsen (31),2863.0
standard,2020-7,Duda (23),2753.0
standard,2020-7,Nakamura (34),2736.0
standard,2020-7,Goryachkina (23),2582.0
standard,2020-7,Anand (52),2753.0
standard,2020-8,Abdusattorov (17),2627.0
standard,2020-8,Firouzja (18),2728.0
standard,2020-8,Carlsen (31),2863.0
standard,2020-8,Duda (23),2753.0
standard,2020-8,Nakamura (34),2736.0
standard,2020-8,Goryachkina (23),2582.0
standard,2020-8,Anand (52),2753.0
standard,2020-9,Abdusattorov (17),2627.0
standard,2020-9,Firouzja (18),2728.0
standard,2020-9,Carlsen (31),2863.0
standard,2020-9,Duda (23),2753.0
standard,2020-9,Nakamura (34),2736.0
standard,2020-9,Goryachkina (23),2582.0
standard,2020-9,Anand (52),2753.0
standard,2020-10,Abdusattorov (17),2627.0
standard,2020-10,Firouzja (18),2728.0
standard,2020-10,Carlsen (31),2863.0
standard,2020-10,Duda (23),2757.0
standard,2020-10,Nakamura (34),2736.0
standard,2020-10,Goryachkina (23),2582.0
standard,2020-10,Anand (52),2753.0
standard,2020-11,Abdusattorov (17),2627.0
standard,2020-11,Firouzja (18),2749.0
standard,2020-11,Carlsen (31),2862.0
standard,2020-11,Duda (23),2743.0
standard,2020-11,Nakamura (34),2736.0
standard,2020-11,Goryachkina (23),2592.0
standard,2020-11,Anand (52),2753.0
standard,2020-12,Abdusattorov (17),2627.0
standard,2020-12,Firouzja (18),2749.0
standard,2020-12,Carlsen (31),2862.0
standard,2020-12,Duda (23),2743.0
standard,2020-12,Nakamura (34),2736.0
standard,2020-12,Goryachkina (23),2593.0
standard,2020-12,Anand (52),2753.0
rapid,2015-1,Abdusattorov (17),2041.0
rapid,2015-1,Firouzja (18),2120.0
rapid,2015-1,Carlsen (31),2855.0
rapid,2015-1,Duda (23),2560.0
rapid,2015-1,Nakamura (34),2844.0
rapid,2015-1,Goryachkina (23),2423.0
rapid,2015-1,Anand (52),2808.0
rapid,2015-2,Abdusattorov (17),2043.0
rapid,2015-2,Firouzja (18),2120.0
rapid,2015-2,Carlsen (31),2855.0
rapid,2015-2,Duda (23),2560.0
rapid,2015-2,Nakamura (34),2844.0
rapid,2015-2,Goryachkina (23),2423.0
rapid,2015-2,Anand (52),2808.0
rapid,2015-3,Abdusattorov (17),2043.0
rapid,2015-3,Firouzja (18),2120.0
rapid,2015-3,Carlsen (31),2855.0
rapid,2015-3,Duda (23),2560.0
rapid,2015-3,Nakamura (34),2850.0
rapid,2015-3,Goryachkina (23),2423.0
rapid,2015-3,Anand (52),2800.0
rapid,2015-4,Abdusattorov (17),2043.0
rapid,2015-4,Firouzja (18),2120.0
rapid,2015-4,Carlsen (31),2847.0
rapid,2015-4,Duda (23),2560.0
rapid,2015-4,Nakamura (34),2850.0
rapid,2015-4,Goryachkina (23),2423.0
rapid,2015-4,Anand (52),2800.0
rapid,2015-5,Abdusattorov (17),2043.0
rapid,2015-5,Firouzja (18),2120.0
rapid,2015-5,Carlsen (31),2847.0
rapid,2015-5,Duda (23),2560.0
rapid,2015-5,Nakamura (34),2850.0
rapid,2015-5,Goryachkina (23),2428.0
rapid,2015-5,Anand (52),2800.0
rapid,2015-6,Abdusattorov (17),2099.0
rapid,2015-6,Firouzja (18),2120.0
rapid,2015-6,Carlsen (31),2847.0
rapid,2015-6,Duda (23),2560.0
rapid,2015-6,Nakamura (34),2850.0
rapid,2015-6,Goryachkina (23),2453.0
rapid,2015-6,Anand (52),2800.0
rapid,2015-7,Abdusattorov (17),2099.0
rapid,2015-7,Firouzja (18),2168.0
rapid,2015-7,Carlsen (31),2847.0
rapid,2015-7,Duda (23),2560.0
rapid,2015-7,Nakamura (34),2850.0
rapid,2015-7,Goryachkina (23),2453.0
rapid,2015-7,Anand (52),2800.0
rapid,2015-8,Abdusattorov (17),2099.0
rapid,2015-8,Firouzja (18),2213.0
rapid,2015-8,Carlsen (31),2847.0
rapid,2015-8,Duda (23),2560.0
rapid,2015-8,Nakamura (34),2850.0
rapid,2015-8,Goryachkina (23),2453.0
rapid,2015-8,Anand (52),2800.0
rapid,2015-9,Abdusattorov (17),2099.0
rapid,2015-9,Firouzja (18),2213.0
rapid,2015-9,Carlsen (31),2847.0
rapid,2015-9,Duda (23),2560.0
rapid,2015-9,Nakamura (34),2850.0
rapid,2015-9,Goryachkina (23),2453.0
rapid,2015-9,Anand (52),2800.0
rapid,2015-10,Abdusattorov (17),2099.0
rapid,2015-10,Firouzja (18),2213.0
rapid,2015-10,Carlsen (31),2847.0
rapid,2015-10,Duda (23),2560.0
rapid,2015-10,Nakamura (34),2850.0
rapid,2015-10,Goryachkina (23),2453.0
rapid,2015-10,Anand (52),2800.0
rapid,2015-11,Abdusattorov (17),2099.0
rapid,2015-11,Firouzja (18),2213.0
rapid,2015-11,Carlsen (31),2873.0
rapid,2015-11,Duda (23),2603.0
rapid,2015-11,Nakamura (34),2842.0
rapid,2015-11,Goryachkina (23),2453.0
rapid,2015-11,Anand (52),2777.0
rapid,2015-12,Abdusattorov (17),2099.0
rapid,2015-12,Firouzja (18),2213.0
rapid,2015-12,Carlsen (31),2873.0
rapid,2015-12,Duda (23),2603.0
rapid,2015-12,Nakamura (34),2842.0
rapid,2015-12,Goryachkina (23),2453.0
rapid,2015-12,Anand (52),2777.0
rapid,2016-1,Abdusattorov (17),2099.0
rapid,2016-1,Firouzja (18),2213.0
rapid,2016-1,Carlsen (31),2878.0
rapid,2016-1,Duda (23),2603.0
rapid,2016-1,Nakamura (34),2842.0
rapid,2016-1,Goryachkina (23),2424.0
rapid,2016-1,Anand (52),2777.0
rapid,2016-2,Abdusattorov (17),2099.0
rapid,2016-2,Firouzja (18),2213.0
rapid,2016-2,Carlsen (31),2878.0
rapid,2016-2,Duda (23),2632.0
rapid,2016-2,Nakamura (34),2842.0
rapid,2016-2,Goryachkina (23),2424.0
rapid,2016-2,Anand (52),2777.0
rapid,2016-3,Abdusattorov (17),2099.0
rapid,2016-3,Firouzja (18),2213.0
rapid,2016-3,Carlsen (31),2878.0
rapid,2016-3,Duda (23),2632.0
rapid,2016-3,Nakamura (34),2846.0
rapid,2016-3,Goryachkina (23),2424.0
rapid,2016-3,Anand (52),2795.0
rapid,2016-4,Abdusattorov (17),2117.0
rapid,2016-4,Firouzja (18),2253.0
rapid,2016-4,Carlsen (31),2878.0
rapid,2016-4,Duda (23),2632.0
rapid,2016-4,Nakamura (34),2846.0
rapid,2016-4,Goryachkina (23),2424.0
rapid,2016-4,Anand (52),2795.0
rapid,2016-5,Abdusattorov (17),2117.0
rapid,2016-5,Firouzja (18),2285.0
rapid,2016-5,Carlsen (31),2878.0
rapid,2016-5,Duda (23),2632.0
rapid,2016-5,Nakamura (34),2846.0
rapid,2016-5,Goryachkina (23),2424.0
rapid,2016-5,Anand (52),2795.0
rapid,2016-6,Abdusattorov (17),2117.0
rapid,2016-6,Firouzja (18),2285.0
rapid,2016-6,Carlsen (31),2878.0
rapid,2016-6,Duda (23),2632.0
rapid,2016-6,Nakamura (34),2846.0
rapid,2016-6,Goryachkina (23),2424.0
rapid,2016-6,Anand (52),2795.0
rapid,2016-7,Abdusattorov (17),2159.0
rapid,2016-7,Firouzja (18),2285.0
rapid,2016-7,Carlsen (31),2894.0
rapid,2016-7,Duda (23),2632.0
rapid,2016-7,Nakamura (34),2839.0
rapid,2016-7,Goryachkina (23),2424.0
rapid,2016-7,Anand (52),2802.0
rapid,2016-8,Abdusattorov (17),2159.0
rapid,2016-8,Firouzja (18),2270.0
rapid,2016-8,Carlsen (31),2894.0
rapid,2016-8,Duda (23),2632.0
rapid,2016-8,Nakamura (34),2839.0
rapid,2016-8,Goryachkina (23),2424.0
rapid,2016-8,Anand (52),2802.0
rapid,2016-9,Abdusattorov (17),2159.0
rapid,2016-9,Firouzja (18),2270.0
rapid,2016-9,Carlsen (31),2894.0
rapid,2016-9,Duda (23),2632.0
rapid,2016-9,Nakamura (34),2839.0
rapid,2016-9,Goryachkina (23),2424.0
rapid,2016-9,Anand (52),2802.0
rapid,2016-10,Abdusattorov (17),2159.0
rapid,2016-10,Firouzja (18),2270.0
rapid,2016-10,Carlsen (31),2894.0
rapid,2016-10,Duda (23),2632.0
rapid,2016-10,Nakamura (34),2839.0
rapid,2016-10,Goryachkina (23),2424.0
rapid,2016-10,Anand (52),2802.0
rapid,2016-11,Abdusattorov (17),2159.0
rapid,2016-11,Firouzja (18),2270.0
rapid,2016-11,Carlsen (31),2894.0
rapid,2016-11,Duda (23),2632.0
rapid,2016-11,Nakamura (34),2839.0
